,story_author,story_title,story_link,publication_title,publication_link
0,Harlan Ellison,"""""Repent, Harlequin!"" Said the Ticktockman""",http://www.isfdb.org/cgi-bin/title.cgi?41692+1,"I Have No Mouth, and I Must Scream",http://www.isfdb.org/cgi-bin/pl.cgi?362974
1,Harlan Ellison,"""A Boy and His Dog""",http://www.isfdb.org/cgi-bin/title.cgi?41588+1,"I Have No Mouth, and I Must Scream",http://www.isfdb.org/cgi-bin/pl.cgi?362974
2,Stanley G. Weinbaum,"""A Martian Odyssey""",http://www.isfdb.org/cgi-bin/title.cgi?41168+1,Collected Public Domain Works of Stanley G. Weinbaum,http://www.isfdb.org/cgi-bin/pl.cgi?294697
3,Roger Zelazny,"""A Rose for Ecclesiastes""",http://www.isfdb.org/cgi-bin/title.cgi?40981+1,"Escape Pod, EP437",http://www.isfdb.org/cgi-bin/pl.cgi?439756
4,Robert A. Heinlein,"""All You Zombiesâ€”""",http://www.isfdb.org/cgi-bin/title.cgi?58494+1,"Escape Pod, EP200",http://www.isfdb.org/cgi-bin/pl.cgi?293313
5,Fredric Brown,"""Arena""",http://www.isfdb.org/cgi-bin/title.cgi?41651+1,"Escape Pod, EP423",http://www.isfdb.org/cgi-bin/pl.cgi?433907
6,Connie Willis,"""At the Rialto""",http://www.isfdb.org/cgi-bin/title.cgi?41639+1,"Escape Pod, #600",http://www.isfdb.org/cgi-bin/pl.cgi?639078
7,Terry Bisson,"""Bears Discover Fire""",http://www.isfdb.org/cgi-bin/title.cgi?41626+1,The Greatest Science Fiction Stories of the 20th Century,http://www.isfdb.org/cgi-bin/pl.cgi?365006
8,Terry Bisson,"""Bears Discover Fire""",http://www.isfdb.org/cgi-bin/title.cgi?41626+1,"StarShipSofa, No 25",http://www.isfdb.org/cgi-bin/pl.cgi?620104
9,Terry Bisson,"""Bears Discover Fire""",http://www.isfdb.org/cgi-bin/title.cgi?41626+1,"The Drabblecast, #230",http://www.isfdb.org/cgi-bin/pl.cgi?399393
10,Terry Bisson,"""Bears Discover Fire""",http://www.isfdb.org/cgi-bin/title.cgi?41626+1,"Lightspeed Podcast, January 2014",http://www.isfdb.org/cgi-bin/pl.cgi?437453
11,Greg Bear,"""Blood Music""",http://www.isfdb.org/cgi-bin/title.cgi?49380+1,Best of Science Fiction and Fantasy,http://www.isfdb.org/cgi-bin/pl.cgi?366722
12,Octavia E. Butler,"""Bloodchild""",http://www.isfdb.org/cgi-bin/title.cgi?41597+1,"The Drabblecast, #300",http://www.isfdb.org/cgi-bin/pl.cgi?431405
13,Frederik Pohl,"""Day Million""",http://www.isfdb.org/cgi-bin/title.cgi?41512+1,"The Drabblecast, #312",http://www.isfdb.org/cgi-bin/pl.cgi?438348
14,Connie Willis,"""Even the Queen""",http://www.isfdb.org/cgi-bin/title.cgi?41431+1,"Escape Pod, #608",http://www.isfdb.org/cgi-bin/pl.cgi?647565
15,Daniel Keyes,"""Flowers for Algernon""",http://www.isfdb.org/cgi-bin/title.cgi?49838+1,"Escape Pod, EP490",http://www.isfdb.org/cgi-bin/pl.cgi?511983
16,Ted Chiang,"""Hell Is the Absence of God""",http://www.isfdb.org/cgi-bin/title.cgi?100308+1,"PodCastle, PC040",http://www.isfdb.org/cgi-bin/pl.cgi?305503
17,Harlan Ellison,"""I Have No Mouth, and I Must Scream""",http://www.isfdb.org/cgi-bin/title.cgi?41300+1,"I Have No Mouth, and I Must Scream",http://www.isfdb.org/cgi-bin/pl.cgi?362974
18,Harlan Ellison,"""Jeffty Is Five""",http://www.isfdb.org/cgi-bin/title.cgi?49824+1,The Greatest Science Fiction Stories of the 20th Century,http://www.isfdb.org/cgi-bin/pl.cgi?365006
19,Harlan Ellison,"""Jeffty Is Five""",http://www.isfdb.org/cgi-bin/title.cgi?49824+1,Midnight in the Sunken Cathedral,http://www.isfdb.org/cgi-bin/pl.cgi?410341
20,Isaac Asimov,"""Nightfall""",http://www.isfdb.org/cgi-bin/title.cgi?46434+1,"Escape Pod, EP100",http://www.isfdb.org/cgi-bin/pl.cgi?273319
21,Robert Silverberg,"""Passengers""",http://www.isfdb.org/cgi-bin/title.cgi?41078+1,"Escape Pod, EP369",http://www.isfdb.org/cgi-bin/pl.cgi?409731
22,Pat Murphy,"""Rachel in Love""",http://www.isfdb.org/cgi-bin/title.cgi?45221+1,"Escape Pod, EP447",http://www.isfdb.org/cgi-bin/pl.cgi?449358
23,Philip K. Dick,"""Second Variety""",http://www.isfdb.org/cgi-bin/title.cgi?40961+1,Second Variety,http://www.isfdb.org/cgi-bin/pl.cgi?305500
24,John Crowley,"""Snow""",http://www.isfdb.org/cgi-bin/title.cgi?41920+1,"Lightspeed Podcast, November 2011",http://www.isfdb.org/cgi-bin/pl.cgi?369526
25,John Crowley,"""Snow""",http://www.isfdb.org/cgi-bin/title.cgi?41920+1,"StarShipSofa, No 213",http://www.isfdb.org/cgi-bin/pl.cgi?685200
26,Judith Merril,"""That Only a Mother""",http://www.isfdb.org/cgi-bin/title.cgi?40880+1,The Greatest Science Fiction Stories of the 20th Century,http://www.isfdb.org/cgi-bin/pl.cgi?365006
27,Judith Merril,"""That Only a Mother""",http://www.isfdb.org/cgi-bin/title.cgi?40880+1,"Pseudopod, #542",http://www.isfdb.org/cgi-bin/pl.cgi?618316
28,Judith Merril,"""That Only a Mother""",http://www.isfdb.org/cgi-bin/title.cgi?40880+1,"Drabblecast B-Sides, #73",http://www.isfdb.org/cgi-bin/pl.cgi?710457
29,Tom Godwin,"""The Cold Equations""",http://www.isfdb.org/cgi-bin/title.cgi?55860+1,"Lightspeed Podcast, July 2011",http://www.isfdb.org/cgi-bin/pl.cgi?358299
30,Tom Godwin,"""The Cold Equations""",http://www.isfdb.org/cgi-bin/title.cgi?55860+1,"The Drabblecast, #289",http://www.isfdb.org/cgi-bin/pl.cgi?423367
31,Cordwainer Smith,"""The Game of Rat and Dragon""",http://www.isfdb.org/cgi-bin/title.cgi?41379+1,Short Science Fiction Collection 25,http://www.isfdb.org/cgi-bin/pl.cgi?297199
32,Cordwainer Smith,"""The Game of Rat and Dragon""",http://www.isfdb.org/cgi-bin/title.cgi?41379+1,Short Science Fiction Collection 033,http://www.isfdb.org/cgi-bin/pl.cgi?311302
33,Peter Watts,"""The Island""",http://www.isfdb.org/cgi-bin/title.cgi?1018721+1,"StarShipSofa, No 143",http://www.isfdb.org/cgi-bin/pl.cgi?674978
34,Isaac Asimov,"""The Last Question""",http://www.isfdb.org/cgi-bin/title.cgi?41230+1,"The Drabblecast, #200",http://www.isfdb.org/cgi-bin/pl.cgi?398404
35,C. M. Kornbluth,"""The Little Black Bag""",http://www.isfdb.org/cgi-bin/title.cgi?52216+1,"Escape Pod, EP429",http://www.isfdb.org/cgi-bin/pl.cgi?437518
36,Theodore Sturgeon,"""The Man Who Lost the Sea""",http://www.isfdb.org/cgi-bin/title.cgi?41178+1,"Escape Pod, EP500",http://www.isfdb.org/cgi-bin/pl.cgi?536240
37,Theodore Sturgeon,"""The Man Who Lost the Sea""",http://www.isfdb.org/cgi-bin/title.cgi?41178+1,"Escape Pod, #665",http://www.isfdb.org/cgi-bin/pl.cgi?703256
38,Ted Chiang,"""The Merchant and the Alchemist's Gate""",http://www.isfdb.org/cgi-bin/title.cgi?834616+1,"StarShipSofa, No 15",http://www.isfdb.org/cgi-bin/pl.cgi?618725
39,Ted Chiang,"""The Merchant and the Alchemist's Gate""",http://www.isfdb.org/cgi-bin/title.cgi?834616+1,Exhalation,http://www.isfdb.org/cgi-bin/pl.cgi?722713
40,Jack Vance,"""The Moon Moth""",http://www.isfdb.org/cgi-bin/title.cgi?41146+1,"StarShipSofa, No 272",http://www.isfdb.org/cgi-bin/pl.cgi?689137
41,Jack Vance,"""The Moon Moth""",http://www.isfdb.org/cgi-bin/title.cgi?41146+1,"StarShipSofa, No 273",http://www.isfdb.org/cgi-bin/pl.cgi?689143
42,Arthur C. Clarke,"""The Nine Billion Names of God""",http://www.isfdb.org/cgi-bin/title.cgi?41108+1,The Greatest Science Fiction Stories of the 20th Century,http://www.isfdb.org/cgi-bin/pl.cgi?365006
43,"James Tiptree, Jr.","""The Screwfly Solution""",http://www.isfdb.org/cgi-bin/title.cgi?40964+1,"Pseudopod, #400",http://www.isfdb.org/cgi-bin/pl.cgi?477890
44,Arthur C. Clarke,"""The Star""",http://www.isfdb.org/cgi-bin/title.cgi?40913+1,"The Drabblecast, #227",http://www.isfdb.org/cgi-bin/pl.cgi?399294
45,H. G. Wells,"""The Star""",http://www.isfdb.org/cgi-bin/title.cgi?54841+1,Short Science Fiction Collection 23,http://www.isfdb.org/cgi-bin/pl.cgi?295205
46,H. G. Wells,"""The Star""",http://www.isfdb.org/cgi-bin/title.cgi?54841+1,Short Science Fiction Collection 038,http://www.isfdb.org/cgi-bin/pl.cgi?325955
47,H. G. Wells,"""The Star""",http://www.isfdb.org/cgi-bin/title.cgi?54841+1,Short Science Fiction Collection 049,http://www.isfdb.org/cgi-bin/pl.cgi?435531
48,Peter Watts,"""The Things""",http://www.isfdb.org/cgi-bin/title.cgi?1077522+1,"Clarkesworld Magazine Podcast, January 2010",http://www.isfdb.org/cgi-bin/pl.cgi?307522
49,Peter Watts,"""The Things""",http://www.isfdb.org/cgi-bin/title.cgi?1077522+1,"Escape Pod, EP298",http://www.isfdb.org/cgi-bin/pl.cgi?356080
50,Peter Watts,"""The Things""",http://www.isfdb.org/cgi-bin/title.cgi?1077522+1,"Escape Pod, #690",http://www.isfdb.org/cgi-bin/pl.cgi?724942
51,Howard Waldrop,"""The Ugly Chickens""",http://www.isfdb.org/cgi-bin/title.cgi?40841+1,"The Drabblecast, #310",http://www.isfdb.org/cgi-bin/pl.cgi?436741
52,George R. R. Martin,"""The Way of Cross and Dragon""",http://www.isfdb.org/cgi-bin/title.cgi?45199+1,"Lightspeed Podcast, June 2012",http://www.isfdb.org/cgi-bin/pl.cgi?392058
